Owner_info,bhk_inf,Price,Construction,square_feet,Locality,Area
BUILDER,3 ,1.6 Cr,Under Construction,"5,699 / sq ft",Manikonda,2810
BUILDER,2 ,1.43 Cr,Ready to move,"9,565 / sq ft",Shaikpet,1495
BUILDER,2 ,56.98 L,Under Construction,"4,400 / sq ft",Bachupally,1295
BUILDER,2 ,43.6 L,Under Construction,"4,899 / sq ft",Shamshabad,890
BUILDER,3 ,65.82 L,Under Construction,"4,600 / sq ft",Tellapur,1431
BUILDER,3 ,1.65 Cr,Under Construction,"6,501 / sq ft",Attapur,2540
BUILDER,4 ,6.22 Cr,Under Construction,"15,000 / sq ft",Serilingampally,4147
BUILDER,3 ,1.18 Cr,Under Construction,"5,400 / sq ft",Sainikpuri,2200
BUILDER,Residential Plot,1.11 Cr,New,"3,555 / sq ft",Sheriguda,3150
BUILDER,3 ,95.35 L,Under Construction,"6,200 / sq ft",Manikonda,1538
BUILDER,4 ,1.45 Cr,Under Construction,"6,304 / sq ft",Bachupally,2300
BUILDER,2 ,56.02 L,Under Construction,"4,500 / sq ft",Ghatkesar,1245
BUILDER,2 ,72.05 L,Under Construction,"5,500 / sq ft",Attapur,1310
BUILDER,2 ,61.57 L,Under Construction,"4,700 / sq ft",Kompally,1310
BUILDER,3 ,1.46 Cr,Under Construction,"4,700 / sq ft",Shankarpalli,3120
BUILDER,3 ,54.04 L,Under Construction,"4,199 / sq ft",Mallampet,1287
BUILDER,3 ,96.22 L,Ready to move,"6,800 / sq ft",Nanakramguda,1415
BUILDER,4 ,2.9 Cr,Ready to move,"8,290 / sq ft",Hitech City,3498
BUILDER,3 ,97.11 L,Under Construction,"5,699 / sq ft",Manikonda,1704
BUILDER,4 ,3.04 Cr,Ready to move,"10,252 / sq ft",Shaikpet,2965
BUILDER,2 ,52.58 L,Under Construction,"4,400 / sq ft",Bachupally,1195
BUILDER,2 ,44.33 L,Under Construction,"4,899 / sq ft",Shamshabad,905
BUILDER,3 ,66.01 L,Under Construction,"4,600 / sq ft",Tellapur,1435
BUILDER,3 ,1.65 Cr,Under Construction,"6,501 / sq ft",Attapur,2540
BUILDER,4 ,4.89 Cr,Under Construction,"15,000 / sq ft",Serilingampally,3262
BUILDER,3 ,1.18 Cr,Under Construction,"5,400 / sq ft",Sainikpuri,2195
BUILDER,Residential Plot,1.11 Cr,New,"3,555 / sq ft",Sheriguda,3150
BUILDER,3 ,93.31 L,Under Construction,"6,200 / sq ft",Manikonda,1505
BUILDER,2 ,56.02 L,Under Construction,"4,500 / sq ft",Ghatkesar,1245
BUILDER,3 ,81.67 L,Under Construction,"5,500 / sq ft",Attapur,1485
BUILDER,2 ,58.51 L,Under Construction,"4,700 / sq ft",Kompally,1245
BUILDER,3 ,1.41 Cr,Under Construction,"4,700 / sq ft",Shankarpalli,3000
BUILDER,3 ,65 L,Under Construction,"4,199 / sq ft",Mallampet,1548
BUILDER,3 ,96.9 L,Ready to move,"6,800 / sq ft",Nanakramguda,1425
BUILDER,4 ,2.56 Cr,Ready to move,"8,446 / sq ft",Hitech City,3031
BUILDER,3 ,1.6 Cr,Under Construction,"5,699 / sq ft",Manikonda,2810
BUILDER,3 ,1.77 Cr,Ready to move,"9,490 / sq ft",Shaikpet,1865
BUILDER,3 ,74.58 L,Under Construction,"4,400 / sq ft",Bachupally,1695
BUILDER,2 ,48.65 L,Under Construction,"5,149 / sq ft",Shamshabad,945
BUILDER,3 ,72.22 L,Under Construction,"4,600 / sq ft",Tellapur,1570
BUILDER,3 ,1.65 Cr,Under Construction,"6,501 / sq ft",Attapur,2540
BUILDER,4 ,6.38 Cr,Under Construction,"15,000 / sq ft",Serilingampally,4258
BUILDER,3 ,1.15 Cr,Under Construction,"5,400 / sq ft",Sainikpuri,2130
BUILDER,Residential Plot,63.99 L,New,"3,555 / sq ft",Sheriguda,1800
BUILDER,2 ,77.19 L,Under Construction,"6,200 / sq ft",Manikonda,1245
BUILDER,3 ,70.65 L,Under Construction,"4,500 / sq ft",Ghatkesar,1570
BUILDER,3 ,98.72 L,Under Construction,"5,500 / sq ft",Attapur,1795
BUILDER,3 ,74.02 L,Under Construction,"4,700 / sq ft",Kompally,1575
BUILDER,3 ,63.86 L,Under Construction,"4,199 / sq ft",Mallampet,1521
OWNER,2 ,43.17 L,Ready to move,"3,000 / sq ft",Patancheru,1439
AGENT,3 ,92.62 L,Under Construction,"5,800 / sq ft",Tellapur,1597
AGENT,2 ,47 L,Ready to move,"4,476 / sq ft",Nacharam,1050
